sim,scenario,lmm_coef,lmm_pval,lmm_reject,ancova_coef,ancova_pval,ancova_reject,lcmm_coef,lcmm_pval,lcmm_reject,jm_coef,jm_pval,jm_reject,jm_alpha,n_subjects,n_events
1,null,0.052953,0.588964,0,0.394940,0.681931,0,0.199996,0.068850,0,0.049258,0.618466,0,-0.043549,400,140
2,null,0.092367,0.372092,0,1.021198,0.328404,0,0.032890,0.581423,0,0.087903,0.400826,0,-0.058321,400,133
3,null,-0.087977,0.416239,0,-0.522694,0.613171,0,0.008856,0.897372,0,-0.095468,0.382928,0,-0.062961,400,158
4,null,0.069632,0.503726,0,0.126845,0.901373,0,0.013039,0.803881,0,0.070216,0.507827,0,-0.082107,400,136
5,null,-0.081559,0.419923,0,-0.264706,0.795008,0,0.030003,0.671349,0,-0.089800,0.381798,0,-0.059262,400,142
6,null,-0.050068,0.615514,0,0.139369,0.884412,0,0.137492,0.017852,1,-0.054075,0.594978,0,-0.074604,400,151
7,null,0.043242,0.693003,0,1.216718,0.233164,0,0.079698,0.408338,0,0.034779,0.755340,0,-0.075437,400,145
8,null,0.056904,0.592546,0,0.754250,0.458051,0,-0.034567,0.672011,0,0.052676,0.626457,0,-0.079103,400,141
9,null,0.100702,0.323281,0,-0.000006,0.999995,0,0.108666,0.366614,0,0.101932,0.323984,0,-0.058403,400,144
10,null,0.023448,0.831289,0,-0.162840,0.878120,0,0.012483,0.842418,0,0.023398,0.833767,0,-0.056619,400,157
11,null,0.070112,0.490118,0,1.105034,0.241839,0,0.224996,0.020955,1,0.062398,0.545805,0,-0.077853,400,160
12,null,0.145795,0.171737,0,1.654341,0.116892,0,0.088774,0.307778,0,0.143143,0.183764,0,-0.055179,400,148
13,null,-0.105593,0.331540,0,-0.519894,0.610117,0,0.121173,0.243818,0,-0.110716,0.316396,0,-0.064685,400,156
14,null,0.005908,0.954774,0,0.467907,0.630709,0,0.150510,0.018810,1,0.002000,0.984961,0,-0.088608,400,150
15,null,-0.104115,0.338271,0,-0.329670,0.742589,0,0.138632,0.208440,0,-0.112433,0.310357,0,-0.062642,400,153
16,null,-0.029908,0.761888,0,-0.435349,0.638298,0,0.133715,0.279013,0,-0.034088,0.735494,0,-0.072477,400,161
17,null,-0.049503,0.626053,0,-1.062647,0.273035,0,0.104636,0.044868,1,-0.043477,0.674027,0,-0.070248,400,154
18,null,0.002979,0.976285,0,-0.689863,0.457717,0,-0.017161,0.828190,0,0.017482,0.864914,0,-0.081495,400,158
19,null,-0.077850,0.451429,0,-0.639080,0.501018,0,0.152096,0.029460,1,-0.085908,0.416078,0,-0.082021,400,152
20,null,0.283017,0.008632,1,2.462669,0.012468,1,0.144998,0.255863,0,0.282683,0.010134,1,-0.060785,400,167
21,null,-0.021912,0.819032,0,-0.100850,0.911120,0,0.090591,0.346718,0,-0.029311,0.764110,0,-0.078041,400,151
22,null,0.067898,0.481565,0,0.789963,0.426851,0,0.348641,0.002841,1,0.068296,0.482344,0,-0.047855,400,129
23,null,0.158283,0.152637,0,1.531771,0.138698,0,0.236619,0.030793,1,0.162970,0.147527,0,-0.067539,400,151
24,null,0.147801,0.163218,0,0.793096,0.422922,0,0.256605,0.019575,1,0.146472,0.174479,0,-0.080875,400,150
25,null,0.000376,0.997203,0,0.031760,0.974747,0,0.153136,0.154860,0,0.001037,0.992401,0,-0.064554,400,147
26,null,0.054702,0.597428,0,0.498524,0.627055,0,0.190842,0.114129,0,0.051480,0.621974,0,-0.054310,400,157
27,null,0.023134,0.817280,0,-0.162188,0.866129,0,0.249902,0.064263,0,0.026022,0.798808,0,-0.081895,400,135
28,null,0.141142,0.164045,0,1.114063,0.274369,0,0.182227,0.081014,0,0.142357,0.164178,0,-0.052649,400,135
29,null,0.170855,0.086426,0,1.641439,0.077286,0,0.108702,0.427332,0,0.167863,0.099091,0,-0.066840,400,155
30,null,0.073971,0.472955,0,-0.433532,0.664292,0,0.116188,0.238920,0,0.079546,0.446402,0,-0.061210,400,141
31,null,0.018055,0.864025,0,1.092851,0.282453,0,0.066690,0.347715,0,0.005808,0.956676,0,-0.068151,400,152
32,null,-0.018164,0.851619,0,-0.641751,0.504732,0,0.072626,0.519197,0,-0.016522,0.866422,0,-0.061077,400,137
33,null,-0.008410,0.936272,0,0.531469,0.596842,0,0.040738,0.688264,0,-0.011251,0.915756,0,-0.054325,400,152
34,null,0.028676,0.794379,0,-0.200128,0.844385,0,0.107682,0.225127,0,0.025416,0.820593,0,-0.066550,400,144
35,null,0.159176,0.119409,0,1.450206,0.142254,0,0.102317,0.424418,0,0.159596,0.122467,0,-0.050015,400,155
36,null,0.041357,0.690736,0,-0.077450,0.939698,0,0.061365,0.288445,0,0.043332,0.679799,0,-0.043779,400,149
37,null,-0.238103,0.021124,1,-2.109973,0.023815,1,0.048493,0.452654,0,-0.230146,0.029720,1,-0.074859,400,152
38,null,-0.068741,0.476684,0,-0.217513,0.816802,0,0.131695,0.272319,0,-0.073936,0.450832,0,-0.063692,400,133
39,null,-0.089354,0.386200,0,-0.853393,0.359742,0,0.166317,0.153060,0,-0.093455,0.377402,0,-0.090767,400,149
40,null,0.018711,0.861876,0,-0.790638,0.415540,0,0.092429,0.210328,0,0.027017,0.805368,0,-0.065239,400,163
41,null,0.071984,0.484041,0,1.145927,0.250825,0,0.434473,0.001524,1,0.068059,0.512229,0,-0.047411,400,154
42,null,0.173470,0.077186,0,1.175576,0.226074,0,0.130519,0.104352,0,0.171725,0.083391,0,-0.054091,400,133
43,null,-0.054136,0.609184,0,0.106710,0.910416,0,0.066154,0.555558,0,-0.064856,0.549118,0,-0.072668,400,155
44,null,-0.140247,0.153991,0,-1.312858,0.148119,0,0.012340,0.866515,0,-0.147357,0.142443,0,-0.068357,400,145
45,null,-0.100542,0.320676,0,0.143965,0.879819,0,0.054487,0.661754,0,-0.112356,0.280671,0,-0.090244,400,138
46,null,-0.045508,0.664028,0,-1.204449,0.234118,0,0.077816,0.264731,0,-0.049767,0.638648,0,-0.057665,400,139
47,null,0.244826,0.016754,1,1.607450,0.111453,0,0.394003,0.002072,1,0.243751,0.018530,1,-0.060486,400,145
48,null,-0.057442,0.549039,0,-0.014254,0.988151,0,0.013581,0.772058,0,-0.061276,0.526803,0,-0.055738,400,130
49,null,-0.053882,0.594473,0,0.706348,0.482662,0,0.058300,0.312675,0,-0.061318,0.548249,0,-0.048289,400,148
50,null,0.134184,0.189644,0,1.202236,0.245439,0,0.171688,0.022209,1,0.132141,0.201431,0,-0.061091,400,134
51,null,0.063768,0.546172,0,0.244213,0.813793,0,0.044042,0.535793,0,0.054336,0.612096,0,-0.072793,400,137
52,null,0.010554,0.910145,0,-0.090679,0.924411,0,0.077002,0.176141,0,0.012328,0.896501,0,-0.072895,400,131
53,null,0.004461,0.966982,0,-0.202930,0.839666,0,0.126024,0.196561,0,-0.001681,0.987738,0,-0.061253,400,155
54,null,-0.013134,0.899960,0,-1.349385,0.184831,0,0.078149,0.276427,0,-0.006951,0.947397,0,-0.034820,400,152
55,null,-0.244001,0.015520,1,-1.479240,0.111632,0,-0.046820,0.453650,0,-0.248204,0.015922,1,-0.074202,400,154
56,null,0.219344,0.043268,1,2.657578,0.009374,1,0.193098,0.017785,1,0.215186,0.051102,0,-0.065228,400,148
57,null,0.044405,0.655660,0,0.128470,0.894761,0,0.038115,0.634666,0,0.040772,0.687500,0,-0.078878,400,140
58,null,-0.201680,0.056013,0,-1.480044,0.132202,0,0.121354,0.340144,0,-0.209795,0.052247,0,-0.072655,400,159
59,null,-0.051166,0.602371,0,-0.415190,0.655139,0,0.055568,0.355012,0,-0.055341,0.579350,0,-0.067585,400,151
60,null,-0.260097,0.013805,1,-1.422105,0.151112,0,-0.066306,0.240528,0,-0.277895,0.010055,1,-0.074271,400,155
61,null,-0.146205,0.154468,0,-1.737470,0.082701,0,-0.030705,0.791651,0,-0.149477,0.150963,0,-0.054203,400,146
62,null,0.038964,0.707755,0,0.864417,0.372156,0,0.020872,0.773367,0,0.028359,0.789530,0,-0.074354,400,150
63,null,0.157700,0.125543,0,1.279702,0.164945,0,0.091500,0.396136,0,0.160287,0.130285,0,-0.089280,400,180
64,null,0.028298,0.775312,0,-0.410095,0.660662,0,0.148146,0.246058,0,0.029936,0.767022,0,-0.081229,400,135
65,null,0.120527,0.243556,0,-0.471709,0.640040,0,0.037480,0.541557,0,0.125509,0.229838,0,-0.050657,400,149
66,null,-0.010377,0.919093,0,0.827531,0.393618,0,0.140861,0.188859,0,-0.018371,0.859708,0,-0.062837,400,141
67,null,0.120585,0.252319,0,1.390917,0.158194,0,0.131808,0.139395,0,0.114839,0.284546,0,-0.064666,400,147
68,null,-0.060229,0.586105,0,-0.484411,0.644207,0,0.075520,0.411930,0,-0.065633,0.557323,0,-0.056911,400,148
69,null,0.065957,0.516378,0,0.620645,0.525324,0,0.208971,0.128954,0,0.059347,0.564183,0,-0.062454,400,148
70,null,0.021749,0.829671,0,0.153174,0.875044,0,0.112216,0.292836,0,0.024065,0.814077,0,-0.061789,400,154
71,null,-0.050950,0.616964,0,-0.652795,0.507216,0,0.065948,0.311981,0,-0.051504,0.618621,0,-0.067696,400,130
72,null,-0.060506,0.555463,0,-0.719083,0.477698,0,-0.009330,0.882837,0,-0.064425,0.535577,0,-0.068624,400,138
73,null,-0.101012,0.303423,0,-1.101217,0.259801,0,0.053200,0.558410,0,-0.104168,0.294412,0,-0.059785,400,137
74,null,0.044752,0.668004,0,0.685103,0.477952,0,0.037020,0.725019,0,0.036654,0.730109,0,-0.071679,400,158
75,null,0.095854,0.334594,0,0.632811,0.513129,0,0.066649,0.363491,0,0.096095,0.339807,0,-0.062661,400,145
76,null,-0.003413,0.972419,0,0.052725,0.952665,0,0.063280,0.212995,0,-0.004449,0.964895,0,-0.081394,400,146
77,null,0.023568,0.817369,0,0.402733,0.672774,0,0.182658,0.115539,0,0.022250,0.830832,0,-0.076371,400,148
78,null,-0.048743,0.610860,0,0.432552,0.651510,0,0.151970,0.163198,0,-0.052267,0.589350,0,-0.061290,400,143
79,null,-0.074344,0.455190,0,-0.032897,0.972396,0,0.001790,0.984739,0,-0.080377,0.427183,0,-0.063344,400,146
80,null,0.205081,0.037593,1,2.147817,0.026781,1,0.109465,0.099197,0,0.199170,0.047198,1,-0.070228,400,140
81,null,0.006766,0.948349,0,-0.559012,0.569709,0,0.075504,0.544630,0,0.010429,0.921572,0,-0.057297,400,136
82,null,-0.011804,0.906715,0,0.359418,0.704550,0,0.062500,0.518758,0,-0.018566,0.855876,0,-0.047236,400,152
83,null,0.225195,0.024426,1,1.393541,0.155233,0,0.066906,0.452558,0,0.229579,0.023427,1,-0.063949,400,140
84,null,-0.088969,0.389635,0,-0.444840,0.660906,0,0.121584,0.092202,0,-0.100106,0.342916,0,-0.081524,400,131
85,null,-0.144909,0.169099,0,-1.436450,0.146173,0,-0.015124,0.851759,0,-0.147463,0.167832,0,-0.065941,400,157
86,null,0.074147,0.470371,0,1.112773,0.255705,0,0.132296,0.173984,0,0.076162,0.463804,0,-0.055717,400,157
87,null,0.080307,0.417852,0,1.258402,0.175761,0,0.190567,0.246971,0,0.074885,0.460151,0,-0.091469,400,136
88,null,-0.010634,0.920979,0,-0.095222,0.925977,0,0.043457,0.519828,0,-0.014076,0.896988,0,-0.048342,400,146
89,null,0.094709,0.360852,0,0.119254,0.906631,0,0.037668,0.694880,0,0.099189,0.345893,0,-0.073662,400,140
90,null,-0.041388,0.691344,0,0.229549,0.807685,0,-0.030715,0.779763,0,-0.052128,0.624897,0,-0.090099,400,161
91,null,0.017659,0.861898,0,-0.426718,0.663818,0,0.266088,0.041858,1,0.019120,0.853156,0,-0.072117,400,151
92,null,-0.057750,0.549053,0,-0.932576,0.332876,0,0.047488,0.400218,0,-0.055463,0.568498,0,-0.052631,400,138
93,null,-0.181933,0.097777,0,-1.169396,0.263179,0,0.078839,0.447503,0,-0.185578,0.096006,0,-0.072207,400,158
94,null,-0.013648,0.899499,0,0.223471,0.828277,0,0.044833,0.400607,0,-0.019791,0.856323,0,-0.062326,400,157
95,null,0.040394,0.693034,0,0.630109,0.509865,0,0.076011,0.495089,0,0.030499,0.770899,0,-0.086494,400,157
96,null,0.077450,0.472235,0,0.683257,0.512853,0,0.146954,0.051811,0,0.076563,0.484095,0,-0.066348,400,139
97,null,-0.119421,0.247616,0,-1.347099,0.170960,0,-0.004624,0.964509,0,-0.122914,0.238465,0,-0.052835,400,158
98,null,-0.038706,0.690322,0,-0.493995,0.620340,0,-0.071346,0.212340,0,-0.039675,0.685167,0,-0.047908,400,133
99,null,-0.046639,0.635836,0,0.710498,0.442620,0,0.076045,0.155125,0,-0.060967,0.545171,0,-0.086096,400,145
100,null,-0.012317,0.907708,0,0.436116,0.669010,0,-0.036151,0.588915,0,-0.022138,0.838064,0,-0.079774,400,151
101,null,0.009208,0.926236,0,1.284688,0.184393,0,0.080890,0.184408,0,0.000547,0.995685,0,-0.077436,400,149
102,null,0.027083,0.786085,0,0.308165,0.746153,0,0.232491,0.042461,1,0.024921,0.805834,0,-0.061021,400,145
103,null,-0.150234,0.149886,0,-1.232420,0.216946,0,0.048562,0.407483,0,-0.155754,0.141397,0,-0.068942,400,147
104,null,-0.086502,0.419799,0,0.238708,0.808196,0,-0.030831,0.592287,0,-0.094410,0.388684,0,-0.075264,400,156
105,null,-0.021081,0.833819,0,-0.668133,0.498256,0,0.041159,0.508886,0,-0.017741,0.862155,0,-0.064523,400,141
106,null,-0.130875,0.173377,0,-0.675819,0.471163,0,0.003567,0.958527,0,-0.134112,0.168034,0,-0.055234,400,139
107,null,0.056841,0.579402,0,0.259523,0.786966,0,0.041578,0.482520,0,0.061175,0.559106,0,-0.076087,400,153
108,null,0.203362,0.047964,1,0.326534,0.730381,0,0.139237,0.210844,0,0.218550,0.037555,1,-0.077930,400,158
109,null,-0.098468,0.357594,0,-0.717267,0.477683,0,0.045412,0.637150,0,-0.100547,0.356752,0,-0.077803,400,147
110,null,-0.106410,0.295420,0,-0.445265,0.646134,0,0.062014,0.272521,0,-0.112825,0.275245,0,-0.073692,400,149
111,null,0.167154,0.099982,0,0.804866,0.412786,0,0.156022,0.148912,0,0.175267,0.090738,0,-0.077818,400,143
112,null,0.042813,0.693863,0,0.939406,0.372929,0,0.044023,0.648176,0,0.029079,0.792217,0,-0.069418,400,142
113,null,-0.063523,0.539638,0,-0.464983,0.635774,0,0.002886,0.977119,0,-0.068334,0.516155,0,-0.072808,400,149
114,null,0.028260,0.789554,0,0.059380,0.953686,0,0.127246,0.137108,0,0.029860,0.780625,0,-0.052488,400,153
115,null,-0.004998,0.961313,0,0.127479,0.901917,0,0.147832,0.103968,0,-0.010459,0.919590,0,-0.043154,400,143
116,null,-0.166666,0.079495,0,0.287400,0.751137,0,-0.009887,0.877771,0,-0.180563,0.061825,0,-0.066816,400,147
117,null,0.009050,0.929599,0,-0.251483,0.790451,0,0.072135,0.289845,0,0.009022,0.930988,0,-0.070066,400,157
118,null,0.060691,0.562726,0,0.032579,0.973911,0,0.100284,0.288809,0,0.061589,0.562341,0,-0.052565,400,161
119,null,0.033759,0.748070,0,0.422769,0.662007,0,0.208875,0.043364,1,0.025644,0.810422,0,-0.065429,400,150
120,null,-0.030278,0.751912,0,0.131635,0.891901,0,0.031937,0.544013,0,-0.028356,0.768866,0,-0.047777,400,133
121,null,0.009852,0.922674,0,-0.955284,0.312267,0,-0.037916,0.511658,0,0.013916,0.893278,0,-0.077562,400,141
122,null,0.065295,0.526721,0,0.647360,0.516397,0,0.238934,0.040896,1,0.058817,0.575738,0,-0.066313,400,139
123,null,-0.087318,0.418563,0,-0.577471,0.564396,0,0.174450,0.068632,0,-0.094426,0.389817,0,-0.066135,400,156
124,null,0.036462,0.716212,0,-0.132468,0.889055,0,0.080502,0.324293,0,0.028972,0.777036,0,-0.082966,400,147
125,null,-0.013611,0.893260,0,0.053601,0.955615,0,0.266584,0.021804,1,-0.016941,0.869587,0,-0.070020,400,145
126,null,-0.033178,0.744979,0,-0.153129,0.873909,0,0.000687,0.989663,0,-0.033595,0.748786,0,-0.086985,400,143
127,null,0.081574,0.448348,0,1.417842,0.152893,0,0.061420,0.358933,0,0.069550,0.525058,0,-0.063113,400,155
128,null,0.018982,0.853708,0,0.491763,0.622265,0,0.181911,0.126836,0,0.015353,0.883215,0,-0.065229,400,146
129,null,-0.007723,0.941126,0,-0.573000,0.573328,0,0.066736,0.310468,0,-0.005485,0.958773,0,-0.063515,400,146
130,null,-0.053254,0.583328,0,-0.621766,0.489056,0,0.271463,0.000095,1,-0.056730,0.565402,0,-0.074224,400,163
131,null,-0.035506,0.720201,0,-0.462000,0.656865,0,0.018091,0.799673,0,-0.038488,0.699879,0,-0.058461,400,127
132,null,0.113608,0.266760,0,1.043789,0.292633,0,0.052328,0.515606,0,0.110509,0.288474,0,-0.075589,400,148
133,null,0.038389,0.712046,0,0.594162,0.539146,0,0.030985,0.671529,0,0.032427,0.759234,0,-0.066888,400,154
134,null,0.105998,0.284976,0,0.704481,0.481414,0,-0.014435,0.857338,0,0.107794,0.280280,0,-0.056830,400,142
135,null,0.027331,0.792133,0,0.267339,0.783300,0,0.075722,0.221699,0,0.027796,0.793315,0,-0.074852,400,159
136,null,-0.005835,0.955584,0,-0.142945,0.892609,0,-0.009542,0.855814,0,-0.007589,0.942738,0,-0.055076,400,137
137,null,0.153116,0.172069,0,0.989022,0.357117,0,0.054089,0.383056,0,0.152183,0.182286,0,-0.071865,400,159
138,null,0.042972,0.688622,0,0.099754,0.924903,0,0.141509,0.032436,1,0.043389,0.689283,0,-0.061521,400,144
139,null,0.164152,0.112895,0,0.281758,0.782583,0,0.097805,0.317337,0,0.170678,0.103590,0,-0.063708,400,134
140,null,-0.144595,0.182341,0,-1.214784,0.250089,0,0.013250,0.807432,0,-0.146989,0.180127,0,-0.056035,400,151
141,null,0.047929,0.652034,0,0.074424,0.938712,0,0.014241,0.874587,0,0.043074,0.690120,0,-0.055684,400,155
142,null,-0.067273,0.487898,0,-1.040236,0.280851,0,0.050844,0.664003,0,-0.065774,0.502709,0,-0.059728,400,152
143,null,-0.068004,0.519056,0,-0.614007,0.535709,0,0.056128,0.340806,0,-0.070824,0.510958,0,-0.073618,400,151
144,null,-0.027494,0.784089,0,-0.608461,0.521497,0,0.066533,0.552860,0,-0.024078,0.813817,0,-0.073114,400,144
145,null,-0.010165,0.920075,0,-0.001299,0.998952,0,0.056934,0.461395,0,-0.013948,0.891995,0,-0.054376,400,152
146,null,0.122570,0.241435,0,1.052555,0.310317,0,0.160447,0.251424,0,0.117528,0.265473,0,-0.044738,400,129
147,null,-0.001714,0.985531,0,0.057974,0.949848,0,0.027358,0.809528,0,-0.004579,0.962039,0,-0.081845,400,145
148,null,-0.029500,0.789970,0,-0.089980,0.931421,0,0.072656,0.411275,0,-0.029347,0.794411,0,-0.074621,400,133
149,null,0.016291,0.871485,0,0.314384,0.742747,0,0.084440,0.135749,0,0.011520,0.910196,0,-0.069905,400,145
150,null,0.180228,0.106999,0,1.711481,0.099350,0,0.151700,0.114317,0,0.176163,0.121517,0,-0.069981,400,147
151,null,-0.143888,0.138198,0,-2.397173,0.008782,1,-0.025925,0.637386,0,-0.142927,0.147607,0,-0.071432,400,148
152,null,-0.019306,0.858353,0,0.517055,0.615561,0,0.089786,0.191696,0,-0.031189,0.776838,0,-0.074794,400,147
153,null,0.053848,0.596454,0,1.025186,0.292530,0,0.129029,0.240930,0,0.045656,0.659393,0,-0.073057,400,156
154,null,-0.163817,0.105793,0,-1.073521,0.285565,0,0.001590,0.977998,0,-0.166050,0.104242,0,-0.052644,400,139
155,null,0.015682,0.879454,0,0.437013,0.672194,0,0.005683,0.940268,0,0.010572,0.919333,0,-0.048744,400,129
156,null,-0.095059,0.319976,0,-0.753747,0.408059,0,0.230207,0.039884,1,-0.100534,0.301092,0,-0.063278,400,153
157,null,-0.059706,0.560383,0,-0.440672,0.664523,0,0.060133,0.389277,0,-0.059813,0.565603,0,-0.074645,400,122
158,null,-0.003107,0.976084,0,-0.712810,0.459037,0,0.164046,0.142273,0,0.000882,0.993308,0,-0.056158,400,154
159,null,-0.103311,0.341206,0,-0.734221,0.445919,0,0.159133,0.145687,0,-0.106760,0.336543,0,-0.080026,400,156
160,null,0.078209,0.437294,0,0.688835,0.454451,0,0.070467,0.201998,0,0.071764,0.484560,0,-0.072813,400,155
161,null,-0.102880,0.307484,0,-0.431571,0.660456,0,0.096748,0.175353,0,-0.108703,0.287074,0,-0.053284,400,151
162,null,-0.159276,0.101532,0,-1.772440,0.070608,0,0.252612,0.012896,1,-0.154845,0.115542,0,-0.065698,400,140
163,null,-0.178127,0.067597,0,-0.976956,0.323989,0,0.050085,0.363743,0,-0.183275,0.062403,0,-0.055843,400,138
164,null,0.056975,0.570138,0,0.732950,0.438424,0,0.043267,0.703032,0,0.061677,0.547188,0,-0.079295,400,150
165,null,0.086048,0.396085,0,0.777679,0.417696,0,0.237587,0.047503,1,0.083970,0.415898,0,-0.078305,400,150
166,null,0.030514,0.748057,0,0.886399,0.335253,0,0.109685,0.337329,0,0.027390,0.777227,0,-0.090944,400,128
167,null,-0.181459,0.074609,0,0.159556,0.877343,0,0.071008,0.172858,0,-0.195424,0.056910,0,-0.043593,400,134
168,null,0.043925,0.652667,0,0.868633,0.371862,0,0.036392,0.473059,0,0.038547,0.696305,0,-0.052728,400,137
169,null,0.049387,0.623789,0,0.279109,0.768944,0,0.191221,0.157235,0,0.046979,0.646626,0,-0.073038,400,138
170,null,-0.012488,0.905801,0,-1.608155,0.111518,0,0.039862,0.470209,0,-0.005695,0.957516,0,-0.059679,400,149
171,null,0.074958,0.447067,0,0.974112,0.291100,0,0.090238,0.152227,0,0.073574,0.465858,0,-0.083513,400,143
172,null,0.040838,0.678214,0,0.103927,0.914508,0,0.070807,0.350566,0,0.041270,0.677647,0,-0.045363,400,161
173,null,0.141673,0.145756,0,1.185919,0.210988,0,0.184879,0.035429,1,0.140654,0.153259,0,-0.067428,400,142
174,null,0.065399,0.502373,0,0.751214,0.428951,0,0.175893,0.217186,0,0.060120,0.544653,0,-0.067011,400,141
175,null,0.066681,0.530338,0,0.180389,0.855549,0,0.121923,0.185795,0,0.070472,0.513818,0,-0.060057,400,156
176,null,-0.025611,0.804314,0,-0.384098,0.708532,0,0.011465,0.891703,0,-0.028966,0.782222,0,-0.070928,400,132
177,null,0.064997,0.530690,0,0.464380,0.633804,0,0.028238,0.617814,0,0.062603,0.556767,0,-0.083464,400,136
178,null,0.024282,0.817121,0,0.142935,0.885111,0,0.117194,0.211607,0,0.023522,0.824966,0,-0.060418,400,147
179,null,0.014961,0.884796,0,-0.523790,0.594171,0,0.057797,0.290087,0,0.016762,0.872589,0,-0.055233,400,151
180,null,-0.123538,0.248107,0,-1.093824,0.270552,0,0.075997,0.184005,0,-0.130473,0.231589,0,-0.075165,400,159
181,null,-0.018775,0.863273,0,-0.003079,0.997700,0,0.146922,0.226481,0,-0.022196,0.840809,0,-0.064197,400,143
182,null,-0.093051,0.388915,0,-1.049947,0.313462,0,0.091985,0.280620,0,-0.092233,0.398687,0,-0.059600,400,142
183,null,0.070139,0.473665,0,0.072749,0.937482,0,0.049365,0.392628,0,0.074377,0.456291,0,-0.070012,400,133
184,null,-0.238688,0.016424,1,-1.581093,0.093176,0,-0.042167,0.583222,0,-0.250937,0.013504,1,-0.084085,400,151
185,null,0.110552,0.294993,0,0.714510,0.470277,0,0.154052,0.006040,1,0.108981,0.311347,0,-0.065838,400,160
186,null,0.176262,0.075350,0,1.864626,0.055771,0,0.110282,0.324739,0,0.170400,0.090363,0,-0.068218,400,135
187,null,0.102045,0.347049,0,-0.058269,0.956295,0,0.069101,0.490445,0,0.100382,0.359333,0,-0.059033,400,138
188,null,0.122455,0.240917,0,0.632264,0.517969,0,0.077356,0.403580,0,0.122939,0.247532,0,-0.071398,400,140
189,null,0.077601,0.428645,0,0.606362,0.528114,0,0.018664,0.789546,0,0.072256,0.467207,0,-0.066443,400,134
190,null,0.165230,0.118653,0,1.658751,0.094193,0,0.063397,0.431713,0,0.157864,0.143345,0,-0.071466,400,147
191,null,-0.070048,0.456783,0,-0.297565,0.745125,0,0.009147,0.888562,0,-0.072874,0.445518,0,-0.067810,400,154
192,null,-0.110359,0.274194,0,0.047513,0.961001,0,0.110045,0.320978,0,-0.122039,0.233009,0,-0.070307,400,142
193,null,0.041969,0.663749,0,1.191363,0.189785,0,0.079656,0.302575,0,0.030484,0.756650,0,-0.073857,400,135
194,null,-0.100362,0.351026,0,-1.111297,0.275094,0,0.156927,0.160877,0,-0.104622,0.335414,0,-0.046132,400,163
195,null,0.038094,0.720940,0,1.187796,0.236633,0,0.112318,0.347957,0,0.027238,0.800991,0,-0.066111,400,155
196,null,-0.128683,0.204506,0,-1.434449,0.131552,0,0.040913,0.463927,0,-0.131116,0.204325,0,-0.068400,400,153
197,null,-0.095833,0.351908,0,-0.207649,0.832215,0,0.023015,0.692636,0,-0.102543,0.325328,0,-0.065147,400,165
198,null,-0.125899,0.196047,0,-0.804416,0.400603,0,0.031960,0.651064,0,-0.133300,0.175794,0,-0.055870,400,156
199,null,-0.120976,0.245947,0,-0.863552,0.377903,0,0.081859,0.269951,0,-0.124631,0.241442,0,-0.078186,400,149
200,null,-0.053033,0.603400,0,-0.657439,0.486510,0,0.060156,0.618047,0,-0.057790,0.580375,0,-0.084310,400,147
