sim,n,stress,parametric_pval,parametric_reject,perm_pval,perm_reject,elapsed_s
0,200,clean,0.510218,0,0.600000,0,436
1,200,clean,0.010727,1,0.020000,1,418
2,200,clean,0.668256,0,0.745000,0,180
3,200,clean,0.184198,0,0.305000,0,126
4,200,clean,0.349303,0,0.525000,0,125
5,200,clean,0.884393,0,0.890000,0,346
6,200,clean,0.585144,0,0.625000,0,375
7,200,clean,0.909542,0,0.930000,0,122
8,200,clean,0.895799,0,0.930000,0,123
9,200,clean,0.131605,0,0.275000,0,120
10,200,clean,0.254063,0,0.390000,0,119
11,200,clean,0.703133,0,0.800000,0,182
12,200,clean,0.005417,1,0.015000,1,272
13,200,clean,0.945482,0,0.955000,0,186
14,200,clean,0.311590,0,0.445000,0,94
15,200,clean,0.574179,0,0.680000,0,437
16,200,clean,0.513669,0,0.635000,0,417
17,200,clean,0.366659,0,0.525000,0,180
18,200,clean,0.371357,0,0.525000,0,126
19,200,clean,0.345874,0,0.550000,0,125
20,200,clean,0.079478,0,0.145000,0,345
21,200,clean,0.131904,0,0.210000,0,376
22,200,clean,0.988302,0,0.995000,0,123
23,200,clean,0.515046,0,0.655000,0,123
24,200,clean,0.679061,0,0.745000,0,119
25,200,clean,0.654374,0,0.795000,0,119
26,200,clean,0.570378,0,0.730000,0,182
27,200,clean,0.762966,0,0.845000,0,268
28,200,clean,0.111249,0,0.230000,0,189
29,200,clean,0.561617,0,0.635000,0,94
30,200,clean,0.215061,0,0.290000,0,434
31,200,clean,0.743141,0,0.815000,0,419
32,200,clean,0.462277,0,0.575000,0,179
33,200,clean,0.205165,0,0.365000,0,126
34,200,clean,0.197645,0,0.290000,0,125
35,200,clean,0.494941,0,0.620000,0,346
36,200,clean,0.250488,0,0.390000,0,376
37,200,clean,0.011482,1,0.045000,1,122
38,200,clean,0.967253,0,0.990000,0,123
39,200,clean,0.904495,0,0.935000,0,120
40,200,clean,0.203989,0,0.390000,0,119
41,200,clean,0.202884,0,0.405000,0,177
42,200,clean,0.087500,0,0.140000,0,271
43,200,clean,0.669165,0,0.825000,0,191
44,200,clean,0.261530,0,0.385000,0,94
45,200,clean,0.049504,1,0.075000,0,436
46,200,clean,0.911702,0,0.935000,0,420
47,200,clean,0.066168,0,0.130000,0,178
48,200,clean,0.624339,0,0.715000,0,125
49,200,clean,0.742610,0,0.805000,0,126
0,200,jitter_2mo,0.505528,0,0.680000,0,343
1,200,jitter_2mo,0.016564,1,0.060000,0,377
2,200,jitter_2mo,0.985784,0,0.990000,0,122
3,200,jitter_2mo,0.476568,0,0.575000,0,123
4,200,jitter_2mo,0.943048,0,0.965000,0,119
5,200,jitter_2mo,0.979731,0,1.000000,0,119
6,200,jitter_2mo,0.221815,0,0.425000,0,178
7,200,jitter_2mo,0.782719,0,0.840000,0,270
8,200,jitter_2mo,0.496391,0,0.680000,0,192
9,200,jitter_2mo,0.836346,0,0.925000,0,94
10,200,jitter_2mo,0.249052,0,0.405000,0,437
11,200,jitter_2mo,0.165312,0,0.325000,0,417
12,200,jitter_2mo,0.371093,0,0.580000,0,179
13,200,jitter_2mo,0.794675,0,0.910000,0,127
14,200,jitter_2mo,0.134166,0,0.390000,0,125
15,200,jitter_2mo,0.114342,0,0.205000,0,345
16,200,jitter_2mo,0.167484,0,0.340000,0,376
17,200,jitter_2mo,0.034208,1,0.140000,0,123
18,200,jitter_2mo,0.532554,0,0.685000,0,123
19,200,jitter_2mo,0.621146,0,0.730000,0,119
20,200,jitter_2mo,0.048649,1,0.185000,0,119
21,200,jitter_2mo,0.102350,0,0.235000,0,182
22,200,jitter_2mo,0.282476,0,0.495000,0,269
23,200,jitter_2mo,0.487209,0,0.645000,0,189
24,200,jitter_2mo,0.603521,0,0.730000,0,94
25,200,jitter_2mo,0.268520,0,0.395000,0,439
26,200,jitter_2mo,0.131163,0,0.250000,0,419
27,200,jitter_2mo,0.072499,0,0.170000,0,177
28,200,jitter_2mo,0.741942,0,0.845000,0,125
29,200,jitter_2mo,0.033086,1,0.095000,0,125
30,200,jitter_2mo,0.485160,0,0.675000,0,350
31,200,jitter_2mo,0.868185,0,0.935000,0,372
32,200,jitter_2mo,0.055867,0,0.170000,0,123
33,200,jitter_2mo,0.188811,0,0.295000,0,124
34,200,jitter_2mo,0.801835,0,0.840000,0,119
35,200,jitter_2mo,0.048391,1,0.160000,0,119
36,200,jitter_2mo,0.806954,0,0.860000,0,186
37,200,jitter_2mo,0.252416,0,0.390000,0,270
38,200,jitter_2mo,0.538313,0,0.690000,0,184
39,200,jitter_2mo,0.961231,0,0.975000,0,94
40,200,jitter_2mo,0.749633,0,0.745000,0,436
41,200,jitter_2mo,0.369130,0,0.500000,0,420
42,200,jitter_2mo,0.562981,0,0.730000,0,179
43,200,jitter_2mo,0.288379,0,0.415000,0,125
44,200,jitter_2mo,0.136135,0,0.340000,0,125
45,200,jitter_2mo,0.731651,0,0.810000,0,347
46,200,jitter_2mo,0.233557,0,0.370000,0,374
47,200,jitter_2mo,0.493235,0,0.705000,0,122
48,200,jitter_2mo,0.139656,0,0.220000,0,124
49,200,jitter_2mo,0.541370,0,0.680000,0,121
0,200,dropout_high,0.186451,0,0.270000,0,108
1,200,dropout_high,0.197268,0,0.330000,0,150
2,200,dropout_high,0.161804,0,0.290000,0,240
3,200,dropout_high,0.566710,0,0.695000,0,225
4,200,dropout_high,0.533083,0,0.720000,0,93
5,200,dropout_high,0.218635,0,0.290000,0,400
6,200,dropout_high,0.756029,0,0.880000,0,414
7,200,dropout_high,0.328690,0,0.525000,0,193
8,200,dropout_high,0.958501,0,0.990000,0,116
9,200,dropout_high,0.367540,0,0.500000,0,116
10,200,dropout_high,0.072281,0,0.200000,0,160
11,200,dropout_high,0.947634,0,0.975000,0,474
12,200,dropout_high,0.032226,1,0.030000,1,179
13,200,dropout_high,0.803018,0,0.930000,0,112
14,200,dropout_high,0.103243,0,0.205000,0,112
15,200,dropout_high,0.323089,0,0.475000,0,110
16,200,dropout_high,0.373102,0,0.605000,0,109
17,200,dropout_high,0.095524,0,0.230000,0,171
18,200,dropout_high,0.309515,0,0.420000,0,247
19,200,dropout_high,0.749653,0,0.840000,0,199
20,200,dropout_high,0.587998,0,0.720000,0,400
21,200,dropout_high,0.146190,0,0.275000,0,415
22,200,dropout_high,0.019704,1,0.105000,0,193
23,200,dropout_high,0.036278,1,0.070000,0,115
24,200,dropout_high,0.381287,0,0.505000,0,116
25,200,dropout_high,0.600441,0,0.670000,0,162
26,200,dropout_high,0.230584,0,0.345000,0,480
27,200,dropout_high,0.000215,1,0.015000,1,174
28,200,dropout_high,0.022395,1,0.050000,0,113
29,200,dropout_high,0.582216,0,0.695000,0,113
30,200,dropout_high,0.292897,0,0.320000,0,109
31,200,dropout_high,0.186241,0,0.290000,0,109
32,200,dropout_high,0.655410,0,0.780000,0,170
33,200,dropout_high,0.712623,0,0.800000,0,247
34,200,dropout_high,0.523294,0,0.595000,0,198
35,200,dropout_high,0.673706,0,0.740000,0,401
36,200,dropout_high,0.109845,0,0.160000,0,417
37,200,dropout_high,0.360834,0,0.515000,0,191
38,200,dropout_high,0.006523,1,0.030000,1,115
39,200,dropout_high,0.171375,0,0.205000,0,115
40,200,dropout_high,0.094251,0,0.180000,0,163
41,200,dropout_high,0.540738,0,0.630000,0,476
42,200,dropout_high,0.260179,0,0.450000,0,176
43,200,dropout_high,0.228349,0,0.365000,0,112
44,200,dropout_high,0.154674,0,0.255000,0,113
45,200,dropout_high,0.645235,0,0.815000,0,109
46,200,dropout_high,0.893913,0,0.920000,0,109
47,200,dropout_high,0.603890,0,0.690000,0,169
48,200,dropout_high,0.995785,0,1.000000,0,248
49,200,dropout_high,0.557662,0,0.695000,0,200
